,Country/ Territory,Legislative/ Judicial basis for gender recognition,Type & authority to determine application,"Minimum age
",Citizenship/Residency,"Marital status exclusion
",Parental status exclusion,"Medical diagnosis e.g. gender dysphoria, GID etc",Real life test,Intention to live in the opposite gender,"Hormonal treatment
",Physical adaptation (incl non-genital surgery),Genital surgery leading to sterilization,"Official documents etc, affected",Recognition of foreign GRS/ medical intervention/ foreign gender recognition,Scope of gender recognition
71,United States – Connecticut,"Conn. Gen. Stat. § 19a-42 &   19a-42b 
(2015)","(Admin & judicial)
Commissioner of Public Health ",, ✗ (different procedur -es for applicants born in Connecti -cut or foreign jurisdicti -ons),,, ,,,"✗ (surgical, hormonal or other treatment appropriate for the purpose of gender transition)","Unclear
 (surgical, hormonal or other treatment appropriate for the purpose of gender transition)","✗ (surgical, hormonal or other treatment appropriate for the purpose of gender transition)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
72,United States – Delaware,"Del. Code Ann. Tit. 16 § 3131(a) 
(2006)","(Admin & judicial)
State Registrar and court","
","✓
(born in Delaware)
",,,,,,,,"Unclear
(sex change by surgical procedure)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
73,United States – District of Columbia (Washington DC),"D.C. Code Ann. § 7-210.01
(2013)","(Admin & judicial)
Registrar appointed by Director of Department of Health & court (for name change only)",✗,"✓
 (born in the District of Columbia)
",,,"✓
(contemporary medical standards)",,,"✗ (surgical, hormonal or other treatment appropriate for the purpose of gender transition)","Unclear
 (surgical, hormonal or other treatment appropriate for the purpose of gender transition)","✗ (surgical, hormonal or other treatment appropriate for the purpose of gender transition)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
74,United States – Florida,"Fla. Stat. Ch 29, § 382.003(7) ,   § 382.016 
(2006)
& 
Florida Admin Rule 64V-1.003
(2004)","(Admin)
Bureau of Vital Statistics",✗,"✓
(birth registered in Florida)
",,,,,,,,"✓
(gender reassignment surgery & completed sexual reassignment)",Sex designation on birth records,"Unclear
","(Apparently) for all legal purposes
(following change of sex designation on birth records))"
75,United States – Georgia,"Ga. Code Ann. § 31-10-23(e)
(2005)","(Admin & judicial)
State Registrar and court",,"✓
(born in Georgia)",,,,,,,,"Unclear
(change of sex by surgical procedure)
",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
76,United States – Hawaii,"Haw, Rev. Stat. 338-17.7(a)(4)
(2015)","(Admin)
Department of health",,"✓
(born in Hawaii)",,,"✓
(appropriate clinical treatment for gender transition which has been completed)",,,,,"✗
(abortion of requirement of genital confirmation surgery)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
77,United States – Illinois,410 III. Comp. Stat. 535/17(1)(d) (2006) & State of Illinois Gender Reassignment Application Instructions (unknown date of issuance),"(Admin)
State Registrar of Vital Records","
","✓
(born in Illinois)",,,,,,,,"✗
(abortion of requirement of genital reconstruction surgery)",New birth certificate,"✓
(SRS outside US can be verified by US physician)
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
78,United States – Indiana,"Ind. Code    § 16-37-2-10
(2006)","(Admin & judicial)
State Department of Health and court",,"✓
(born in Indiana)
",,,,,,,,"Unclear
(to be determined by court)",New birth certificate,Unclear,"(Apparently) for all legal purposes
(following issuance of new birth certificate)"
79,United States – Iowa,"Iowa Code IV § 144.23 & § 144.24 
(2004)","(Admin)
State Registrar","
","✓
(born in Iowa)
",,,,,,,,"✗
 (surgery or other treatment)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
80,United States – Kansas,"Kan. Admin. Regs. 28-17-20(b)(1)(A)(i)
(2016)",(Admin) State department of health,✗ ,"✓
(born in Kansas)
",,,,,,,,"Unclear
",Amended birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
81,United States – Kentucky,"Ky. Rev. Stat. Ann. § 213.121 (5)
(2005)","(Admin & judicial)
State department of health and court (for name change only)",,"✓
(born in the Commonwealth)",,,,,,,,"Unclear
(surgical procedure)",Amended birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
82,United States – Louisiana,"La. Rev. Stat. Ann. 40:62
(2006)","(Admin & judicial)
State Registrar and court","
","✓
 (born in Louisiana)",,,"✓ (diagnosed as transsexual or pseudo-hermaphrodite)
",,,,,"✓
(sex reassignment or corrective surgery)",New birth certificate,✗,"(Apparently) for all legal purposes
(following issuance of new birth certificate)"
83,United States – Maine,"Code Me. R. § 10-146 Chpt. 2 para 11(A) (1996)
 & 
Me. Rev. Stat. Ann. tit 22, § 2705
(2005)","(Admin and court)
State Registrar and court (for name change only)","
","✓
(born in Maine)
",,,,,,,,"Unclear
(surgical procedure)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
84,United States – Maryland,"Md. Code Ann., Health-General § 4-211(b)
(2015)",(Admin or  judicial) Secretary of Health and Mental Hygiene  or court,"
","✓
(born in Maryland)
",,,,,,"✗ (surgical, hormonal or other treatment appropriate for the purpose of gender transition)","Unclear
 (surgical, hormonal or other treatment appropriate for the purpose of gender transition)","✗ (surgical, hormonal or other treatment appropriate for the purpose of gender transition)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
85,United States – Massachusetts,"Mass. Gen Laws ch. 46. § 13(e)
(2015)","(Admin)
Town clerk ","
","✓
(born in Massachusetts)
",,,,,,,,"✓
(sex reassignment surgery)",Amended birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
86,United States – Michigan,"Mich. Comp. Law S. § 333.2831(c)
(2006)","(Admin)
State registrar",✗,"✓
(born in Michigan)
",,,,,,,,"✓
(sex reassignment surgery)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
87,United States – Minnesota,"(A) Minn. Stat. § 144.218(4)
(2006)","(Admin & judicial)
State Registrar and court",✗,"✓
 (born in Minnesota)
",,,,,,,,"Unclear
 (divergent court rulings)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
,,"1.	(B) Guideline of Minnesota Department of Health 
(date of issuance unknown)","(Admin)
Department of Health",✗,"✓
(born in Minnesota)
",,,"✓
(gender dysphoria – WPATH standard)",,,,,✗ (appropriate clinical treatment),New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
88,United States – Mississippi,"Miss. Code Ann. § 41-57-21 
(2013)
& 
15-4 Miss. Code R. §1:106
(2006)","(Admin & judicial)
State registrar and court","
","✓
 (born in Mississippi)
",,,,,,,,"Unclear
 (gender reassignment – to be determined by court)",Marginal notation of gender change to birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of change of marginal notation of gender change to birth certificate)"
89,United States – Missouri,"Mo. Rev. Stat. § 193.215(9) 
(2006)","(Admin & judicial)
Department of Health and Human Services and court",,"✓
(born in Missouri)
",,,,,,,,"✗
(according to judicial decision)
 ",Amended birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
90,United States – Montana,"Mont. Code Ann. § 50-15-204 
(2005)
& Admin. R. Mont. 37.8.311(5)
(2005)","(Admin & judicial)
Department of Public Health and Human Services and court","
","✓
(born in Montana)
",,,,,,,,"Unclear
(surgical procedure) ",Amended birth certificate or new birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended or new birth certificate)"
91,United States – Nebraska,"Neb. Rev. Stat. § 71-604.01 
(2005)","(Admin & judicial)
Department of Health and Human Services and court (for name change only)",,"✓
(born in Nebraska)
",,,,,,,,"✓
(sex reassignment surgery) ",New birth certificate,"Unclear 
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
92,United States – Nevada,"Nev. Admin. Code 440.130 
(2006)","(Admin & judicial)
State registrar and court","
","✓
(born in Nevada)
",,,,,,,,"Unclear
 (sexual transformation – to be determined by court) ",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
93,United States – New Hampshire,"NH Rev Stat § 5-C:87(V) 
(2013)","(Admin & judicial)
Clerk of the city or town and court","
","✓
(born in Hampshire)
",,,,,,,,"Unclear
(sex change – to be determined by court) ",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
94,United States – New Jersey,"N.J. Stat. Ann. 26:8-40.12 
(2006)","(Admin & judicial)
State Registrar and court (for name change only)",,"✓
(born in New Jersey)",,,,,,,,"✓
(sex reassignment surgery)",Amended birth certificate,"Unclear

","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
95,United States – New Mexico,"N.M. Stat. Ann. § 24-14-25(D) 
(2006)","(Admin)
State Registrar ","
","✓
(born in New Mexico)",,,,,,,,"Unclear
(surgical procedure)",Amended birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
96,United States – New York State (outside of New York City),"NYS PHL 4176
(2014)","(Admin)
Department of Health, Bureau of Vital Records","✓
(18 yrs)","✓
(born in New York State)",,,"✓
(gender dysphoria (DSM standard) or trannssexualism (ICD standard)","Unclear
(has been living in correct gender preceding  application)",,,,"✗ (appropriate clinical treatment, SRS not necessary)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
97,United States – New York City,"24 RCNY Hlth. Code § 207.05(a)(5) & (b)
(2015)","(Admin)
Department of Health and Mental Hygiene ",,"✓
(born in New York City)",,,"Unclear
(requested sex designation more accurately reflects applicant’s sex or gender identity)", ,,"Unclear
(requested sex designation more accurately reflects applicant’s sex or gender identity)","Unclear
(requested sex designation more accurately reflects applicant’s sex or gender identity)",✗,New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
98,United States – North Carolina,"N.C. Gen. Stat. § 130A-118(b)(4) & (e)
(2005)","(Admin)
State Registrar ",,"✓
(born in New Carolina)",,,,,,,,"✓
(sex reassignment surgery)",New birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of new birth certificate)"
99,United States – North Dakota,"N.D. Cent. Code § 23-02.1-25
(2005)
&
N.D. Admin. Code § 33-04-12-02 
(2006)","(Admin & judicial)
State Department of Health and court (for name change only)",,"✓
(born in North Dakota)",,,,,,,,"✓
(sex conversion operation)",Amended birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
100,United States – Oklahoma,"Okla. Stat. Tit. 63, § 1-321 (2006) 
& 
Okla. Admin. Code 310:105-3-3
(2006)","(Admin)
Vital Records Service in Oklahoma State Department of Health ",,"✓
(born in Oklahoma)",,,,,,,,"✓
(sex reassignment surgery)",Gender marker on birth certificate,"Unclear
","(Apparently) for all legal purposes
(following change of gender marker on birth certificate)"
101,United States – Oregon,"Or. Rev. Stat. § 432.235(4) 
(2011)
& 
Or. Admin. R. 333-011-0275 (1)(e) 
(2014)","(Admin & judicial)
State Registrar of the Center for Health Statistics and court",,"✓
(born in Oregon)",,,,,,,,"✗ (appropriate clinical treatment, SRS not required)",Amended birth certificate,"Unclear
","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
102,United States – Pennsylvania,Policy of Pennsylvania Department of Health (2016),"(Admin & judicial)
The Division of Vital Records 
and court",,"✓
(born in Pennsylvania)",,,,,,,,"✗
 ( appropriate clinical treatment)",New birth certificate,Unclear,"(Apparently) for all legal purposes
(following issuance of new birth certificate)"
103,United States – Rhode Island,"R.I. Gen. Laws § 23-3-21
(2005) & Vital Records Regulations of Office of Vital Records (11 November 2014)","(Admin)
The Office of Vital Records",,"✓
 (born in Rhode Island)",,,,,,"✗
(surgical and/or hormone treatment or other treatment appropriate for the individual)","✗
(surgical and/or hormone treatment or other treatment appropriate for the individual)","✗
(surgical and/or hormone treatment or other treatment appropriate for the individual)",Amended or new birth certificate (old name not shown) ,Unclear,"(Apparently) for all legal purposes
(following issuance of amended or new birth certificate)"
104,United States – South Carolina,"S.C. Code Ann. § 44-63-150 
(2005)
&
S.C. Code Ann. Regs. 61-19
(2006)","(Admin & judicial)
State Registrar and court",✗,"✓
 (born in South Carolina)",,,,,,,,"Unclear
",Amended birth certificate ,Unclear,"(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
105,United States – South Dakota,"S.D. Codified Laws § 35·25·51 
(2013)
& 
S.D. Admin. R. 44:09:05:02
(2006)","(Admin & judicial)
State Registrar and court",,"✓
 (born in South Dakota)",,,,,,,,"Unclear
(to be determined by court)
",New birth certificate,Unclear,"(Apparently) for all legal purposes
(following issuance of new birth certificate)"
106,United States – Utah,"Utah Code Ann. § 26-2-11
(2004)","(Admin & judicial)
State Registrar and court",,"✓
 (born in Utah)",,,,,,,,"Unclear
(sex change – to be determined by court)",Amended birth certificate,"✓
(if sex change is approved by an order of a Utah district court or a court of competent jurisdiction of another state or a province of Canada) ","(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
107,United States – Vermont,"Vt. Stat. Ann. tit. 18 § 5057 & § 5112
(2011)","(Admin & judicial)
State Registrar and court",,"✓
(born in Vermont)",,,,,,"✗
(surgical, hormonal or other treatment appropriate for that individual for the purpose of gender transition)","Unclear
(surgical, hormonal or other treatment appropriate for that individual for the purpose of gender transition)","✗
(surgical, hormonal or other treatment appropriate for that individual for the purpose of gender transition)",New birth certificate,Unclear,"(Apparently) for all legal purposes
(following issuance of new birth certificate)"
108,United States – Virginia,"Va. Code § 32.1-269
(2006)
 & 
12 Va. Admin. Code § 5-550-320
(2008)","(Admin & judicial)
State Registrar and court
",,"✓
 (born in Virginia)",,,"✓
(Evidence of preoperative diagnosis and postoperative diagnosis and description of the surgical procedure contained in a notarised affidavit from the physician performing the surgery)",,,,,"✓
(surgical gender reassignment procedure)
 ",Amended/ new birth certificate ,Unclear,"(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
109,United States – Washington,"Policy of Department of Health 
(took effect on 01.07.2008)","(Admin)
State Registrar at the Department of Health",,"✓
 (born in Washington)","
",,,,,"✗
(surgical, hormonal or other treatment appropriate for gender transition or intersex condition)","Unclear (surgical, hormonal or other treatment appropriate for gender transition or intersex condition)","✗
(surgical, hormonal or other treatment appropriate for gender transition or intersex condition)
",Amended/ new birth certificate,Unclear,"(Apparently) for all legal purposes
(following issuance of amended or new birth certificate)"
110,United States – West Virginia,"W. Va. Code § 16-5-25 
(2006)
& 
W. Va. Code St. R. § 64-32-12
(2006)","(Admin & judicial)
State Registrar and court (for name change only)
",✗,"✓ 
(born in West Virginia)",,,,,,,,"✓ 
(gender reassignment surgery)",Amended birth certificate,Unclear,"(Apparently) for all legal purposes
(following issuance of amended birth certificate)"
111,United States – Wisconsin,"Wis. Stat. § 69.15
(2006)","(Admin & judicial)
State Registrar
and court",,"✓ 
(born in Wisconsin)",,,,,,,,"✓
(surgical sex change procedure)",Amended birth certificate (unless Court Order specifies otherwise),Unclear,"(Apparently) for all legal purposes
(following issuance of amended or new birth certificate)"
112,United States – Wyoming,"WY Rules and Regulations HLTH VR Ch. 10 s 3 & s 4(e)(iii)
(2008)","(Admin & judicial)
State Registrar and court",,"✓ 
(born in Wyoming)",,,,,,,,"Unclear
(sex having been changed – to be determined by court)","Amended birth certificate
(unless Court Order specifies otherwise)",Unclear,"(Apparently) for all legal purposes
(following issuance of amended or new birth certificate)"
South America,,,,,,,,,,,,,,,,
113,Argentina,"The Gender Identity Law
(July 2012) and administrative guidelines governing applications by non-citizens","(Admin)
Public officer of National Bureau of Vital Statistics or district offices","✗ 
(18 yrs or legal rep & consent needed)","✓
(citizen or permane-nt resident whose country of citizenship does not permit gender recognition)",✗,,✗,✗,✗,✗,,✗,New birth certificate & national identity card,"✓
","Expressly 
for all legal purposes"
114,Bolivia ,The Law of Gender Identity (Law No. 807) (2016),"(Admin)
Civil Registry Service","✓
(18 yrs)",,,,"✓
(psychological report required)",,,✗,,✗,"(Apparently)
Amended birth certificate",Unclear ,"(Apparently) for all legal purposes as the use of prior personal documents will be prohibited, except in cases of judgments or judicial or administrative proceedings"
115,Colombia,"Government Decree 
(5 June 2015)","(Admin)
Government",,,,,✗,✗,✗,✗,✗,✗,Identity card,Unclear,"(Apparently) for all legal purposes
(following issuance of new identity card)"
116,Ecuador ,Organic Law of the National Identity and Civil Data Management Service (2016),"(Admin)
Civil Registry","✓
(18 yrs)",✓(resident),,,,"✓
(2 yrs)",,,,,Identity card ,Unclear ,"(Apparently) for all legal purposes
(following issuance of new identity card)"
117,Uruguay,"Law 18.620
(passed in October 2009)","(Judicial)
Family Courts",,,✗,,"✓
(stability & persistence of dissonance between gender assigned at birth &  acquired gender lasted for at least 2 years; such requirement not in need if SRS has been done)",,,✗,✗,✗,Identification documents & documents that record the rights and obligations thereof,Unclear,Expressly for all legal purposes
Others,,,,,,,,,,,,,,,,
118,South Africa,"Birth and Death Registration Act (1992), ss 19 & 27A & Alteration of Sex Description and Sex Status Act 
(2003)","(Admin)
Director- General of the National Department of Home Affairs","✗ 
(18 yrs or consent of parent or legal guardian needed)","✓ 
(birth registered in South Africa)",,,"✓ 
(trans- sexualism in light of guideline of Parliament)",,,"✓ 
(in light of guideline of Parliament)","Unclear
(alteration of sexual characteristics by surgical or medical treatment)","✗ 
(in light of guideline of Parliament)",New birth certificate,Unclear,Expressly for all legal purposes
